Ticker,Classe de Ativo,Posicao,Peso Na Carteira (%),Capital Alocado (R$),Preco Entrada,Preco Atual,Retorno (%),PnL Nao Realizado (R$)
PETR4,Ações B3,BUY_LONG,12.00,12000000.00,34.20,38.45,12.43,1491228.07
VALE3,Ações B3,BUY_LONG,10.00,10000000.00,63.50,61.20,-3.62,-362204.72
WEGE3,Ações B3,BUY_LONG,8.00,8000000.00,38.80,43.15,11.21,896907.22
ITUB4,Ações B3,BUY_LONG,8.00,8000000.00,31.40,34.80,10.83,866242.04
BBAS3,Ações B3,BUY_LONG,6.00,6000000.00,26.10,27.90,6.90,413793.10
IVVB11,ETFs Globais,BUY_HEDGE,10.00,10000000.00,262.00,285.00,8.78,877862.60
SOJA,Commodities,BUY_HEDGE,6.00,6000000.00,10.50,11.80,12.38,742857.14
MILHO,Commodities,BUY_HEDGE,5.00,5000000.00,56.10,64.20,14.44,721925.13
CAFÉ,Commodities,BUY_HEDGE,5.00,5000000.00,192.00,215.40,12.19,609375.00
OURO,Proteção (Ouro),BUY_HEDGE,10.00,10000000.00,385.00,418.50,8.70,870129.87
USD_BRL,Forex & Câmbio,BUY_HEDGE,5.00,5000000.00,5.15,5.48,6.41,320388.35
CDI,Renda Fixa / CDI,HOLD_CASH,15.00,15000000.00,1.00,1.03,2.80,420000.00
